trait,pval,cor,type,date
LA,1.49560846918617e-09,0.284315649365635,ExG,Aug22
LA,6.40434513915914e-09,0.27351506252063,ExG2,Aug22
LA,1.878575961538e-08,0.265208934570744,RGB,Aug22
LA,1.86383674984987e-17,0.391894956728562,NGR,Aug22
LA,5.4872561550773e-09,0.274685220679768,GLI,Aug22
LA,1.80267673064247e-17,0.392058925859723,MGR,Aug22
LA,1.4618503818837e-17,0.393086763393359,VARI,Aug22
LA,2.70448650356436e-11,0.31194353353112,VEG,Aug22
LA,3.02478549654518e-10,-0.295675120489422,Woebbecke..no.abs.,Aug22
LA,1.95658060805677e-11,-0.3140503159355,Woebbecke..abs.,Aug22
FW,0.000104474953506987,0.184744704712102,ExG,Aug22
FW,5.66465690562071e-05,0.191588589288336,ExG2,Aug22
FW,0.000127310506860384,0.182481394071998,RGB,Aug22
FW,1.89906061423504e-13,0.34254476579002,NGR,Aug22
FW,5.22135056037443e-05,0.192481813848779,GLI,Aug22
FW,1.84986646266913e-13,0.342697992338731,MGR,Aug22
FW,5.21350014791115e-14,0.3499935705686,VARI,Aug22
FW,8.04985557919444e-07,0.233694157824226,VEG,Aug22
FW,6.09913751636371e-08,-0.255780394290507,Woebbecke..no.abs.,Aug22
FW,1.64255886241122e-11,-0.315181986826473,Woebbecke..abs.,Aug22
Chl,3.19313747812295e-32,-0.525281189452214,ExG,Aug22
Chl,4.11405942934685e-25,-0.468452999929522,ExG2,Aug22
Chl,9.98311052786705e-27,-0.482327030769539,RGB,Aug22
Chl,0.251616493566332,-0.0550839579423444,NGR,Aug22
Chl,4.31615832510624e-25,-0.468269880085221,GLI,Aug22
Chl,0.253890261512491,-0.0548210144013836,MGR,Aug22
Chl,0.859832408408265,0.00849100199642496,VARI,Aug22
Chl,3.61498868955961e-18,-0.400271951074928,VEG,Aug22
Chl,0.223241631933852,-0.058514724085181,Woebbecke..no.abs.,Aug22
Chl,5.82035015946004e-12,-0.322148664625067,Woebbecke..abs.,Aug22
DW,0.00114426645178724,0.155262816293299,ExG,Aug22
DW,0.00131181905494636,0.153421440067954,ExG2,Aug22
DW,0.00245787292241562,0.144689332649552,RGB,Aug22
DW,5.61980981786047e-11,0.307121103030093,NGR,Aug22
DW,0.00122300904217744,0.154368548783095,GLI,Aug22
DW,5.47876398742739e-11,0.307290182733846,MGR,Aug22
DW,1.28635201652417e-11,0.316755275451788,VARI,Aug22
DW,4.58721435656211e-05,0.19389280290205,VEG,Aug22
DW,1.0278526107231e-07,-0.251479294873319,Woebbecke..no.abs.,Aug22
DW,1.53381071026054e-10,-0.300353773010911,Woebbecke..abs.,Aug22
Nitrogen,4.10494890982005e-45,-0.606854897670529,ExG,Aug22
Nitrogen,1.7947404063694e-33,-0.534255955017253,ExG2,Aug22
Nitrogen,1.24108597351366e-35,-0.549155723058697,RGB,Aug22
Nitrogen,0.16231852632494,-0.067113735908784,NGR,Aug22
Nitrogen,2.09982726968852e-33,-0.533773365472445,GLI,Aug22
Nitrogen,0.164687642111538,-0.0667380780286098,MGR,Aug22
Nitrogen,0.886987630918394,0.00683356928886371,VARI,Aug22
Nitrogen,6.293419755456e-24,-0.457857670583791,VEG,Aug22
Nitrogen,0.40500284262069,-0.0400250186346398,Woebbecke..no.abs.,Aug22
Nitrogen,2.43637764873591e-14,-0.354668984262401,Woebbecke..abs.,Aug22
Sulfur,6.1744798611196e-32,-0.52318708907309,ExG,Aug22
Sulfur,7.33179087809309e-29,-0.499739099112018,ExG2,Aug22
Sulfur,1.73625087911293e-29,-0.504659641418968,RGB,Aug22
Sulfur,1.44157424384599e-08,-0.267576478388427,NGR,Aug22
Sulfur,7.57303082294066e-29,-0.499627592200347,GLI,Aug22
Sulfur,1.46897018452594e-08,-0.267429726630326,MGR,Aug22
Sulfur,3.56525121665991e-06,-0.220143877991157,VARI,Aug22
Sulfur,8.98592809024936e-26,-0.474205716058418,VEG,Aug22
Sulfur,0.0666173350470147,0.0880279120910157,Woebbecke..no.abs.,Aug22
Sulfur,0.454009670481679,-0.0359916024514153,Woebbecke..abs.,Aug22
Phosphorus,1.84609482515408e-18,-0.403472809210401,ExG,Aug22
Phosphorus,1.17293180845545e-17,-0.394580835887076,ExG2,Aug22
Phosphorus,1.06935117084445e-17,-0.395031875635278,RGB,Aug22
Phosphorus,7.3530372904544e-11,-0.305662058920897,NGR,Aug22
Phosphorus,1.02000812780565e-17,-0.395262077301728,GLI,Aug22
Phosphorus,7.33764887296489e-11,-0.30567610779719,MGR,Aug22
Phosphorus,2.51113299799667e-09,-0.280831776572712,VARI,Aug22
Phosphorus,1.30729464755976e-17,-0.394050861799888,VEG,Aug22
Phosphorus,0.00101552531483063,0.157033972080036,Woebbecke..no.abs.,Aug22
Phosphorus,0.0744592817684277,0.0856150008194151,Woebbecke..abs.,Aug22
Potassium,0.820969210673795,0.0108811738718811,ExG,Aug22
Potassium,0.559136378033358,0.0280819168408604,ExG2,Aug22
Potassium,0.59056283950968,0.0258662226746305,RGB,Aug22
Potassium,0.131474412540059,0.072431475194392,NGR,Aug22
Potassium,0.565849135602623,0.0276037817440764,GLI,Aug22
Potassium,0.131224819884072,0.0724782395696018,MGR,Aug22
Potassium,0.115630726940797,0.0755473622303632,VARI,Aug22
Potassium,0.387541218555457,0.0415313264941871,VEG,Aug22
Potassium,0.00172381937199153,-0.149850449637094,Woebbecke..no.abs.,Aug22
Potassium,0.0618927685924208,-0.0895965179115787,Woebbecke..abs.,Aug22
Magnesium,5.42565166870716e-11,-0.307692707701886,ExG,Aug22
Magnesium,3.47882028224369e-08,-0.260612202926193,ExG2,Aug22
Magnesium,1.50717621751259e-08,-0.267229431985073,RGB,Aug22
Magnesium,0.173610174264202,-0.0653586076848982,NGR,Aug22
Magnesium,3.19534958267704e-08,-0.261292962844801,GLI,Aug22
Magnesium,0.172188047259418,-0.0655748723915149,MGR,Aug22
Magnesium,0.476985544514565,-0.0341858750867387,VARI,Aug22
Magnesium,1.5391019533594e-06,-0.228047274662972,VEG,Aug22
Magnesium,0.48178899176224,0.0338144472171233,Woebbecke..no.abs.,Aug22
Magnesium,0.119771997941351,-0.0747022998936706,Woebbecke..abs.,Aug22
Calcium,7.61670743411879e-12,-0.32044756284853,ExG,Aug22
Calcium,6.8242664177696e-12,-0.321143627962283,ExG2,Aug22
Calcium,5.64952681000746e-12,-0.322336396409234,RGB,Aug22
Calcium,3.62787440634633e-06,-0.219976968153218,NGR,Aug22
Calcium,6.21798517018308e-12,-0.321731719471138,GLI,Aug22
Calcium,3.5565717394056e-06,-0.220167232136496,MGR,Aug22
Calcium,4.25516869273894e-05,-0.194927629218279,VARI,Aug22
Calcium,2.17977144492268e-11,-0.313692762581135,VEG,Aug22
Calcium,0.0951681706625045,0.0801120108291753,Woebbecke..no.abs.,Aug22
Calcium,0.164250610732108,0.0668070690497464,Woebbecke..abs.,Aug22
Sodium,0.00525221766775636,-0.133609035928682,ExG,Aug22
Sodium,0.0025156426666381,-0.144522194149508,ExG2,Aug22
Sodium,0.00195689425142302,-0.148081992358455,RGB,Aug22
Sodium,0.635120749915471,-0.0228147415622417,NGR,Aug22
Sodium,0.00259628431660486,-0.144069443175769,GLI,Aug22
Sodium,0.635284422720356,-0.0228037071965203,MGR,Aug22
Sodium,0.973461677381052,-0.00159963179650211,VARI,Aug22
Sodium,0.00872971971949665,-0.125600502352674,VEG,Aug22
Sodium,0.244544400173607,-0.0559125132666518,Woebbecke..no.abs.,Aug22
Sodium,0.133475164094314,-0.0720590647312617,Woebbecke..abs.,Aug22
Iron,0.203205187405989,-0.0611292228478494,ExG,Aug22
Iron,0.177646878010658,-0.0647518383174841,ExG2,Aug22
Iron,0.170818694241286,-0.0657843737898495,RGB,Aug22
Iron,0.618214169131303,-0.0239611463101598,NGR,Aug22
Iron,0.177779050988178,-0.0647321449196389,GLI,Aug22
Iron,0.619553315674493,-0.0238698529117416,MGR,Aug22
Iron,0.725712511627436,-0.0168685670301168,VARI,Aug22
Iron,0.219020523482755,-0.0590510729711479,VEG,Aug22
Iron,0.937536309448876,-0.00376822806175092,Woebbecke..no.abs.,Aug22
Iron,0.427909131633118,-0.0381064739419547,Woebbecke..abs.,Aug22
Manganese,1.47180260645223e-13,-0.34440211538974,ExG,Aug22
Manganese,1.09726024148425e-13,-0.346104369082715,ExG2,Aug22
Manganese,9.48718216885027e-14,-0.346943700141041,RGB,Aug22
Manganese,6.87683113508564e-08,-0.255082898400854,NGR,Aug22
Manganese,9.19797139235992e-14,-0.347122013501698,GLI,Aug22
