trait,pval,cor,type,date
LA,1.04168199977382e-13,0.346029791200853,ExG,Aug 12
LA,2.3677927697716e-18,0.401866838167976,ExG2,Aug 12
LA,2.65939211559827e-17,0.39014234305008,RGB,Aug 12
LA,1.47899986721261e-17,0.393029656040898,NGR,Aug 12
LA,3.09745424018915e-17,0.389387296661228,GLI,Aug 12
LA,1.81550841508405e-17,0.392024075544724,MGR,Aug 12
LA,6.5908386045126e-15,0.361515703035428,VARI,Aug 12
LA,0.00183798385760198,-0.148788573529135,VEG,Aug 12
LA,1.82780009971345e-19,-0.413796465942481,Woebbecke..no.abs.,Aug 12
LA,9.71764388520762e-26,-0.473431945488274,Woebbecke..abs.,Aug 12
FW,8.29417564419578e-17,0.384462527495793,ExG,Aug 12
FW,2.00669760476342e-20,0.423715526633502,ExG2,Aug 12
FW,1.26859028499272e-19,0.415459081542571,RGB,Aug 12
FW,1.04006324567299e-19,0.416359452989911,NGR,Aug 12
FW,1.10951263778151e-19,0.416066739073883,GLI,Aug 12
FW,1.22710582499458e-19,0.415609984385801,MGR,Aug 12
FW,1.70254799961514e-17,0.392339559494347,VARI,Aug 12
FW,0.351204929956227,-0.0447530040195343,VEG,Aug 12
FW,1.99916688647989e-12,-0.328445188340249,Woebbecke..no.abs.,Aug 12
FW,5.55924298608177e-20,-0.419181317464401,Woebbecke..abs.,Aug 12
Chl,1.73895915617008e-27,0.488634643712732,ExG,Aug 12
Chl,1.18888671400266e-13,0.345640515610387,ExG2,Aug 12
Chl,3.9816114511607e-15,0.364645710166113,RGB,Aug 12
Chl,8.98852372809686e-20,0.417456351993417,NGR,Aug 12
Chl,3.50814589339481e-16,0.377501676997526,GLI,Aug 12
Chl,6.00021977688694e-20,0.419277528569319,MGR,Aug 12
Chl,1.63423938183071e-24,0.463141299763149,VARI,Aug 12
Chl,2.02396271639519e-45,0.608543241714118,VEG,Aug 12
Chl,2.47042741664327e-11,0.312877163506311,Woebbecke..no.abs.,Aug 12
Chl,0.42900500676053,0.0380162114263621,Woebbecke..abs.,Aug 12
DW,1.43104345722221e-15,0.36973484840915,ExG,Aug 12
DW,1.57129733945387e-17,0.392733070132145,ExG2,Aug 12
DW,6.71265955277934e-17,0.385527318508105,RGB,Aug 12
DW,2.6713313271941e-17,0.390120190198554,NGR,Aug 12
DW,5.2335889736953e-17,0.386775092933837,GLI,Aug 12
DW,3.02532039845459e-17,0.389504102920264,MGR,Aug 12
DW,1.5056136295701e-15,0.369465235882933,VARI,Aug 12
DW,0.535638284931331,-0.0297437646774536,VEG,Aug 12
DW,5.77713337748107e-10,-0.29113682214627,Woebbecke..no.abs.,Aug 12
DW,1.86918623588268e-16,-0.380336427416864,Woebbecke..abs.,Aug 12
Nitrogen,3.12881682577795e-30,0.510411047764887,ExG,Aug 12
Nitrogen,3.28330246836925e-13,0.339697578550129,ExG2,Aug 12
Nitrogen,8.0774930834207e-15,0.360791090500533,RGB,Aug 12
Nitrogen,3.76625393280498e-22,0.44123533124564,NGR,Aug 12
Nitrogen,3.84245554388319e-16,0.377030136573033,GLI,Aug 12
Nitrogen,2.25990825710155e-22,0.443360799666563,MGR,Aug 12
Nitrogen,1.39378624900436e-28,0.497518763866765,VARI,Aug 12
Nitrogen,2.16610167880926e-64,0.696459059536723,VEG,Aug 12
Nitrogen,1.42377420198692e-15,0.37015838931484,Woebbecke..no.abs.,Aug 12
Nitrogen,0.136927688954518,0.0714264259625387,Woebbecke..abs.,Aug 12
Sulfur,0.00233502357450941,0.145586288724786,ExG,Aug 12
Sulfur,0.683921043799637,-0.0195742844412203,ExG2,Aug 12
Sulfur,0.928811037601182,-0.00429590659460743,RGB,Aug 12
Sulfur,0.252490189528829,0.0549827273764337,NGR,Aug 12
Sulfur,0.868297883060236,0.00797332033738488,GLI,Aug 12
Sulfur,0.238197668950139,0.0566704783577266,MGR,Aug 12
Sulfur,0.0334887330575412,0.101969814904863,VARI,Aug 12
Sulfur,2.40847312012701e-23,0.452505533019531,VEG,Aug 12
Sulfur,1.21615080854936e-20,0.42636348625099,Woebbecke..no.abs.,Aug 12
Sulfur,1.69065730935614e-09,0.283737017100676,Woebbecke..abs.,Aug 12
Phosphorus,0.515695520117093,-0.0312471685798239,ExG,Aug 12
Phosphorus,9.75846691158346e-06,-0.210270429726109,ExG2,Aug 12
Phosphorus,2.93896206152493e-05,-0.198894098146715,RGB,Aug 12
Phosphorus,0.00285572963625201,-0.14269501633551,NGR,Aug 12
Phosphorus,7.38372864984121e-05,-0.18886902052648,GLI,Aug 12
Phosphorus,0.00316745403120042,-0.14118655549555,MGR,Aug 12
Phosphorus,0.0347480915848442,-0.101259263170691,VARI,Aug 12
Phosphorus,6.44895866125532e-12,0.321501330744489,VEG,Aug 12
Phosphorus,7.52307091090588e-20,0.418259699863184,Woebbecke..no.abs.,Aug 12
Phosphorus,4.10120836186555e-13,0.338379156808616,Woebbecke..abs.,Aug 12
Potassium,0.652814886474051,0.0216286139266874,ExG,Aug 12
Potassium,0.0415733407534547,0.0977505735915784,ExG2,Aug 12
Potassium,0.0470028913858736,0.0952919336045047,RGB,Aug 12
Potassium,0.0592238837452738,0.0905267608789597,NGR,Aug 12
Potassium,0.0482153762243844,0.0947757163456936,GLI,Aug 12
Potassium,0.0603454794502572,0.0901316931486444,MGR,Aug 12
Potassium,0.0799061677408463,0.0840582998731648,VARI,Aug 12
Potassium,0.800113874209464,-0.0121745787268549,VEG,Aug 12
Potassium,0.0609809167549749,-0.0899105533411464,Woebbecke..no.abs.,Aug 12
Potassium,0.077839727683432,-0.0846384322854618,Woebbecke..abs.,Aug 12
Magnesium,0.00828100551162911,0.126452424424856,ExG,Aug 12
Magnesium,0.128100175794675,0.0730695832636797,ExG2,Aug 12
Magnesium,0.0983219183714397,0.0793606940774055,RGB,Aug 12
Magnesium,0.00394101053250698,0.137957319318007,NGR,Aug 12
Magnesium,0.0622209601839728,0.0894844247100524,GLI,Aug 12
Magnesium,0.00377334701801404,0.138605088225548,MGR,Aug 12
Magnesium,0.000469334496378066,0.167001995776318,VARI,Aug 12
Magnesium,7.05352886938869e-13,0.33513852931813,VEG,Aug 12
Magnesium,4.90154518104167e-07,0.238376675360929,Woebbecke..no.abs.,Aug 12
Magnesium,0.00398055345699436,0.137808185916632,Woebbecke..abs.,Aug 12
Calcium,0.165761915739899,0.0665690720494176,ExG,Aug 12
Calcium,0.0893823949197682,-0.0815436869321451,ExG2,Aug 12
Calcium,0.121250014391248,-0.0744062236390887,RGB,Aug 12
Calcium,0.801779829824203,-0.0120709487410921,NGR,Aug 12
Calcium,0.176963538491446,-0.064853827759123,GLI,Aug 12
Calcium,0.816886423075225,-0.0111337338210775,MGR,Aug 12
Calcium,0.672220017422431,0.0203426764765566,VARI,Aug 12
Calcium,2.00898420963275e-09,0.282474285500824,VEG,Aug 12
Calcium,2.94682204501697e-10,0.296182982967703,Woebbecke..no.abs.,Aug 12
Calcium,8.73227785824292e-07,0.233223283199419,Woebbecke..abs.,Aug 12
Sodium,0.039797427851032,0.098613616778616,ExG,Aug 12
Sodium,0.189824880040474,0.0629811037928184,ExG2,Aug 12
Sodium,0.15737321062663,0.0679113839888653,RGB,Aug 12
Sodium,0.162667727304154,0.0670581072401006,NGR,Aug 12
Sodium,0.148208530755755,0.0694411397076782,GLI,Aug 12
Sodium,0.161505023830908,0.0672436790064473,MGR,Aug 12
Sodium,0.112954819177294,0.0761060943001916,VARI,Aug 12
Sodium,0.0479120011298999,0.0949038497311323,VEG,Aug 12
Sodium,0.17736002742808,0.0647946156715746,Woebbecke..no.abs.,Aug 12
Sodium,0.345530674814786,0.0453346612514793,Woebbecke..abs.,Aug 12
Iron,0.142081444192195,0.070504482955356,ExG,Aug 12
Iron,0.985669028907317,0.000863705389145375,ExG2,Aug 12
Iron,0.9566299532258,0.00261498929717838,RGB,Aug 12
Iron,0.656578127848144,0.0213780521509345,NGR,Aug 12
Iron,0.918157675414331,0.00494089649766636,GLI,Aug 12
Iron,0.651570407105877,0.0217116017326362,MGR,Aug 12
Iron,0.551233279464215,0.0286484134841355,VARI,Aug 12
Iron,0.18696863086385,0.0633887224456046,VEG,Aug 12
Iron,0.445034696017086,0.0367108110660699,Woebbecke..no.abs.,Aug 12
Iron,0.824566577737862,0.0106588897811186,Woebbecke..abs.,Aug 12
Manganese,0.207969505724023,0.0604912621649003,ExG,Aug 12
Manganese,0.1032487861081,-0.0782244631065129,ExG2,Aug 12
Manganese,0.153541733006373,-0.0685424904909494,RGB,Aug 12
Manganese,0.453116682121337,-0.0360628004951995,NGR,Aug 12
Manganese,0.202759827485006,-0.0611894102732128,GLI,Aug 12
Manganese,0.465647936871881,-0.0350707557012874,MGR,Aug 12
Manganese,0.923080787040087,-0.00464273187874844,VARI,Aug 12
Manganese,1.92341552764256e-10,0.299132983494437,VEG,Aug 12
Manganese,2.88106621565896e-12,0.326545999069372,Woebbecke..no.abs.,Aug 12
Manganese,1.9667297628708e-07,0.246294572248096,Woebbecke..abs.,Aug 12
Copper,6.95953491924822e-15,0.361607166006191,ExG,Aug 12
Copper,5.89746349504066e-05,0.191362368005961,ExG2,Aug 12
