Row,Filename,Plot,Row.Numbers,Filter.Type,Genotype.x,Image,Light.Value,Average.Saturation,Reference.Rep,Pixels.Remaining,Total,Percent.Cover,file,date,Pedigree,Genotype.y,Treatment,Rep
1017,190901_djifc6310s_Sept1_NE_row_34_range_6_rep_8.tif,190901_djifc6310s_Sept1_NE_row_34_range_6,1017 and 1018,ExG 131,Check,DJI_0201.JPG,12.97756614,22.01410263,1,291016,385899,75.41247839,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Sept1.csv,Sept1,Check,Check,Nitrogen,1
1017,190901_djifc6310s_Sept1_NE_row_34_range_6_rep_8.tif,190901_djifc6310s_Sept1_NE_row_34_range_6,1017 and 1018,Custom,Check,DJI_0201.JPG,12.97756614,21.97187591,1,274174,385899,71.04812399,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Sept1.csv,Sept1,Check,Check,Nitrogen,1
1017,190816_djifc6310s_Aug16_NE_row_34_range_6_rep_3.tif,190816_djifc6310s_Aug16_NE_row_34_range_6,1017 and 1018,ExG 131,Check,DJI_0977.JPG,8,23.26384969,1,334227,449167,74.4104086,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug16.csv,Aug16,Check,Check,Nitrogen,1
1017,190901_djifc6310s_Sept1_NE_row_34_range_6_rep_8.tif,190901_djifc6310s_Sept1_NE_row_34_range_6,1017 and 1018,Otsu pre,Check,DJI_0201.JPG,12.97756614,22.64803815,1,263604,385899,68.30906533,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Sept1.csv,Sept1,Check,Check,Nitrogen,1
1017,190901_djifc6310s_Sept1_NE_row_34_range_6_rep_8.tif,190901_djifc6310s_Sept1_NE_row_34_range_6,1017 and 1018,Otsu post,Check,DJI_0201.JPG,12.97756614,23.48582594,1,225390,385899,58.40647423,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Sept1.csv,Sept1,Check,Check,Nitrogen,1
1017,190816_djifc6310s_Aug16_NE_row_34_range_6_rep_3.tif,190816_djifc6310s_Aug16_NE_row_34_range_6,1017 and 1018,Otsu post,Check,DJI_0977.JPG,8,24.89790098,1,283467,449167,63.10948934,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug16.csv,Aug16,Check,Check,Nitrogen,1
1017,190816_djifc6310s_Aug16_NE_row_34_range_6_rep_3.tif,190816_djifc6310s_Aug16_NE_row_34_range_6,1017 and 1018,Otsu pre,Check,DJI_0977.JPG,8,25.31635657,1,270497,449167,60.22192191,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug16.csv,Aug16,Check,Check,Nitrogen,1
1017,190823_djifc6310_Aug23_NE_row_34_range_6_rep_3.tif,190823_djifc6310_Aug23_NE_row_34_range_6,1017 and 1018,Custom,Check,DJI_0329.JPG,12.31116539,32.49905868,1,285631,351307,81.30524015,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug23.csv,Aug23,Check,Check,Nitrogen,1
1017,190816_djifc6310s_Aug16_NE_row_34_range_6_rep_3.tif,190816_djifc6310s_Aug16_NE_row_34_range_6,1017 and 1018,Custom,Check,DJI_0977.JPG,8,22.95538998,1,340809,449167,75.87578785,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug16.csv,Aug16,Check,Check,Nitrogen,1
1017,190903_djifc6310s_Sept3_NE_row_34_range_6_rep_3.tif,190903_djifc6310s_Sept3_NE_row_34_range_6,1017 and 1018,ExG 131,Check,DJI_0810.JPG,8.924870213,30.06665466,1,294065,466745,63.00335301,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Sept3.csv,Sept3,Check,Check,Nitrogen,1
1017,190903_djifc6310s_Sept3_NE_row_34_range_6_rep_3.tif,190903_djifc6310s_Sept3_NE_row_34_range_6,1017 and 1018,Otsu pre,Check,DJI_0810.JPG,8.924870213,31.7211851,1,240367,466745,51.49856988,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Sept3.csv,Sept3,Check,Check,Nitrogen,1
1017,190903_djifc6310s_Sept3_NE_row_34_range_6_rep_3.tif,190903_djifc6310s_Sept3_NE_row_34_range_6,1017 and 1018,Otsu post,Check,DJI_0810.JPG,8.924870213,31.66106361,1,241678,466745,51.77945131,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Sept3.csv,Sept3,Check,Check,Nitrogen,1
1017,190903_djifc6310s_Sept3_NE_row_34_range_6_rep_3.tif,190903_djifc6310s_Sept3_NE_row_34_range_6,1017 and 1018,Custom,Check,DJI_0810.JPG,8.924870213,29.7769971,1,298914,466745,64.04225005,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Sept3.csv,Sept3,Check,Check,Nitrogen,1
1017,190706_djifc6310_J6_NE_row_34_range_6_rep_7.tif,190706_djifc6310_J6_NE_row_34_range_6,1017 and 1018,ExG 131,Check,DJI_0160.JPG,12.55097764,82.82393302,1,173547,261855,66.27599244,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_J6.csv,July6,Check,Check,Nitrogen,1
1017,190706_djifc6310_J6_NE_row_34_range_6_rep_7.tif,190706_djifc6310_J6_NE_row_34_range_6,1017 and 1018,Otsu pre,Check,DJI_0160.JPG,12.55097764,105.6495383,1,92721,261855,35.4092914,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_J6.csv,July6,Check,Check,Nitrogen,1
1017,190706_djifc6310_J6_NE_row_34_range_6_rep_7.tif,190706_djifc6310_J6_NE_row_34_range_6,1017 and 1018,Otsu post,Check,DJI_0160.JPG,12.55097764,104.4200205,1,97127,261855,37.09190201,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_J6.csv,July6,Check,Check,Nitrogen,1
1017,190706_djifc6310_J6_NE_row_34_range_6_rep_7.tif,190706_djifc6310_J6_NE_row_34_range_6,1017 and 1018,Custom,Check,DJI_0160.JPG,12.55097764,84.46657409,1,164509,261855,62.82446392,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_J6.csv,July6,Check,Check,Nitrogen,1
1017,190827_djifc6310_Aug26_NE_row_34_range_6_rep_2.tif,190827_djifc6310_Aug26_NE_row_34_range_6,1017 and 1018,ExG 131,Check,DJI_0128.JPG,8,43.12638772,1,337348,426683,79.06291087,data/CanopyCoverage/NE/Plot1_canopy_ref_sat_Aug26.csv,Aug26,Check,Check,Nitrogen,1
