VI,eff,pval
ExG,-1.99609759839286e-05,3.45328586682957e-35
ExG2,-5.24420149134108e-05,6.93078118623167e-249
RGB,-7.13016373734783e-05,5.08805839482887e-256
NGR,-7.48100650512487e-05,1.41699931360613e-302
GLI,-3.91413875445834e-05,3.56920800612124e-262
MGR,-0.000147611765236863,1.41500054456897e-301
VARI,-0.000144709433839828,6.34448319890831e-303
VEG,-0.000907196517471305,9.86776186668958e-272
Woebbecke..no.abs.,0.000224811861226975,0.00114103230891098
Woebbecke..abs.,0.00202173444719038,1.3261357434155e-89
