Filename,Plot,Row Numbers,Filter Type,Genotype,Image,Light Value,Average Saturation,Reference Rep,Pixels Remaining,Total,Percent Cover
190827_djifc6310_Aug26_NW_row_10_range_1_rep_1_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0167.JPG,8,61.28966902,0,319049,330337,96.58288354
190827_djifc6310_Aug26_NW_row_10_range_1_rep_1_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0167.JPG,8,66.35584991,0,212577,330337,64.35155614
190827_djifc6310_Aug26_NW_row_10_range_1_rep_1_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0167.JPG,8,66.75559295,0,201697,330337,61.05794991
190827_djifc6310_Aug26_NW_row_10_range_1_rep_1_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0167.JPG,8,61.9099507,0,312518,330337,94.60581164
190827_djifc6310_Aug26_NW_row_10_range_1_rep_2_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0168.JPG,8,59.79128723,0,300945,330337,91.10241965
190827_djifc6310_Aug26_NW_row_10_range_1_rep_2_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0168.JPG,8,67.64761678,0,188699,330337,57.12318027
190827_djifc6310_Aug26_NW_row_10_range_1_rep_2_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0168.JPG,8,67.51556387,0,191417,330337,57.94597638
190827_djifc6310_Aug26_NW_row_10_range_1_rep_2_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0168.JPG,8,61.27222898,0,284413,330337,86.09783342
190827_djifc6310_Aug26_NW_row_10_range_1_rep_3_isref_1.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0169.JPG,8,57.73795539,1,284344,330337,86.07694566
190827_djifc6310_Aug26_NW_row_10_range_1_rep_3_isref_1.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0169.JPG,8,67.47825051,1,178600,330337,54.06599927
190827_djifc6310_Aug26_NW_row_10_range_1_rep_3_isref_1.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0169.JPG,8,67.99802775,1,172230,330337,52.13766547
190827_djifc6310_Aug26_NW_row_10_range_1_rep_3_isref_1.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0169.JPG,8,59.60452283,1,266224,330337,80.59163824
190827_djifc6310_Aug26_NW_row_10_range_1_rep_4_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0170.JPG,8,59.10027449,0,311924,330337,94.42599527
190827_djifc6310_Aug26_NW_row_10_range_1_rep_4_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0170.JPG,8,69.82245968,0,186455,330337,56.44387398
190827_djifc6310_Aug26_NW_row_10_range_1_rep_4_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0170.JPG,8,69.26025747,0,192228,330337,58.19148324
190827_djifc6310_Aug26_NW_row_10_range_1_rep_4_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0170.JPG,8,60.22092144,0,297714,330337,90.12432758
190827_djifc6310_Aug26_NW_row_10_range_1_rep_5_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0220.JPG,7.614709844,64.83171473,0,317403,330337,96.08460451
190827_djifc6310_Aug26_NW_row_10_range_1_rep_5_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0220.JPG,7.614709844,79.07902797,0,182195,330337,55.15428184
190827_djifc6310_Aug26_NW_row_10_range_1_rep_5_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0220.JPG,7.614709844,79.18614383,0,181239,330337,54.86488041
190827_djifc6310_Aug26_NW_row_10_range_1_rep_5_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0220.JPG,7.614709844,65.31489455,0,311726,330337,94.36605648
190827_djifc6310_Aug26_NW_row_10_range_1_rep_6_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0221.JPG,7.614709844,58.85780004,0,296920,330337,89.88396698
190827_djifc6310_Aug26_NW_row_10_range_1_rep_6_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0221.JPG,7.614709844,70.34835756,0,181718,330337,55.00988385
190827_djifc6310_Aug26_NW_row_10_range_1_rep_6_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0221.JPG,7.614709844,70.46654979,0,180775,330337,54.72441779
190827_djifc6310_Aug26_NW_row_10_range_1_rep_6_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0221.JPG,7.614709844,59.96286974,0,285727,330337,86.49560903
190827_djifc6310_Aug26_NW_row_10_range_1_rep_7_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0222.JPG,7.614709844,61.50254204,0,302436,330337,91.5537769
190827_djifc6310_Aug26_NW_row_10_range_1_rep_7_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0222.JPG,7.614709844,72.8576505,0,173365,330337,52.48125399
190827_djifc6310_Aug26_NW_row_10_range_1_rep_7_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0222.JPG,7.614709844,73.1952284,0,167666,330337,50.7560461
190827_djifc6310_Aug26_NW_row_10_range_1_rep_7_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0222.JPG,7.614709844,62.47693363,0,291867,330337,88.35431696
190827_djifc6310_Aug26_NW_row_10_range_1_rep_8_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0223.JPG,7.614709844,64.66743756,0,319016,330337,96.57289374
190827_djifc6310_Aug26_NW_row_10_range_1_rep_8_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0223.JPG,7.614709844,70.76547074,0,199291,330337,60.3296028
190827_djifc6310_Aug26_NW_row_10_range_1_rep_8_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0223.JPG,7.614709844,70.78486009,0,198539,330337,60.10195649
190827_djifc6310_Aug26_NW_row_10_range_1_rep_8_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0223.JPG,7.614709844,64.92990597,0,315745,330337,95.58269283
190827_djifc6310_Aug26_NW_row_10_range_2_rep_1_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_2,2465 and 2466,ExG 131,Mo24W,DJI_0157.JPG,8.321928095,38.11439373,0,154756,330337,46.84791592
190827_djifc6310_Aug26_NW_row_10_range_2_rep_1_isref_0.tif,190827_djifc6310_Aug26_NW_row_10_range_2,2465 and 2466,Otsu pre,Mo24W,DJI_0157.JPG,8.321928095,43.71450479,0,100231,330337,30.34204464
