Filename,Plot,Row Numbers,Filter Type,Genotype,Image,Light Value,Average Saturation,Reference Rep,Pixels Remaining,Total,Percent Cover
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_10_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0979.JPG,8.58502021,43.05938816,0,321389,357305,89.94808357
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_10_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0979.JPG,8.58502021,48.95466859,0,209567,357305,58.65213193
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_10_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0979.JPG,8.58502021,49.60711143,0,198210,357305,55.47361498
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_10_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0979.JPG,8.58502021,43.3213317,0,315041,357305,88.17145016
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_11_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0980.JPG,8.58502021,39.81131775,0,294873,357305,82.52697275
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_11_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0980.JPG,8.58502021,45.87924046,0,205918,357305,57.63087558
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_11_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0980.JPG,8.58502021,45.65204044,0,208995,357305,58.49204461
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_11_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0980.JPG,8.58502021,39.73303161,0,293203,357305,82.05958495
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_1_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0929.JPG,8.58502021,45.30527576,0,322559,357305,90.27553491
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_1_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0929.JPG,8.58502021,54.7656231,0,201058,357305,56.27069311
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_1_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0929.JPG,8.58502021,55.56684198,0,192173,357305,53.78402205
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_1_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0929.JPG,8.58502021,45.7830618,0,314696,357305,88.074894
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_2_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0930.JPG,8.58502021,42.26514399,0,278989,357305,78.08147101
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_2_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0930.JPG,8.58502021,48.29328658,0,195787,357305,54.79548285
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_2_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0930.JPG,8.58502021,47.77106667,0,203183,357305,56.8654231
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_2_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0930.JPG,8.58502021,42.59117477,0,273464,357305,76.53517303
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_3_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0931.JPG,8.58502021,42.44694088,0,315135,357305,88.19775822
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_3_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0931.JPG,8.58502021,48.47045748,0,204131,357305,57.13074264
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_3_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0931.JPG,8.58502021,47.99526697,0,213717,357305,59.81360462
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_3_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0931.JPG,8.58502021,42.87190183,0,307113,357305,85.95261751
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_4_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0932.JPG,8.58502021,40.03061306,0,294413,357305,82.3982312
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_4_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0932.JPG,8.58502021,46.48386753,0,203054,357305,56.82931949
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_4_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0932.JPG,8.58502021,47.2072015,0,192661,357305,53.92060005
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_4_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0932.JPG,8.58502021,40.08186807,0,290280,357305,81.24151635
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_5_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0936.JPG,8.58502021,44.27866956,0,339113,357305,94.90855152
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_5_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0936.JPG,8.58502021,50.074112,0,223312,357305,62.49898546
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_5_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0936.JPG,8.58502021,49.53202244,0,233572,357305,65.3704818
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_5_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0936.JPG,8.58502021,44.47368581,0,335058,357305,93.77366676
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_6_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0937.JPG,8.58502021,42.03976385,0,317064,357305,88.73763311
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_6_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0937.JPG,8.58502021,47.00197443,0,220694,357305,61.76627811
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_6_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0937.JPG,8.58502021,47.0779475,0,219255,357305,61.36354095
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_6_isref_0.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0937.JPG,8.58502021,42.35151398,0,310380,357305,86.8669624
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_7_isref_1.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,ExG 131,Check,DJI_0938.JPG,8.58502021,41.85628488,1,258135,357305,72.24500077
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_7_isref_1.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu pre,Check,DJI_0938.JPG,8.58502021,47.67646206,1,182761,357305,51.14985796
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_7_isref_1.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Otsu post,Check,DJI_0938.JPG,8.58502021,47.73586817,1,181922,357305,50.91504457
190903_djifc6310s_Sept3_NW_row_10_range_1_rep_7_isref_1.tif,190903_djifc6310s_Sept3_NW_row_10_range_1,2565 and 2566,Custom,Check,DJI_0938.JPG,8.58502021,42.25585598,1,252009,357305,70.53049915
