Filename,Plot,Row Numbers,Filter Type,Genotype,Image,Light Value,Average Saturation,Reference Rep,Pixels Remaining,Total,Percent Cover
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_1.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,ExG 131,NC310,DJI_0094.JPG,8.58502021,23.70029033,0,59873,449235,13.32776832
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_1.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Otsu pre,NC310,DJI_0094.JPG,8.58502021,25.14239814,0,51393,449235,11.44011486
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_1.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Otsu post,NC310,DJI_0094.JPG,8.58502021,24.66213256,0,54439,449235,12.11815642
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_1.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Custom,NC310,DJI_0094.JPG,8.58502021,22.42240043,0,66811,449235,14.87217158
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_2.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,ExG 131,NC310,DJI_0095.JPG,8.58502021,25.744353,0,81899,449235,18.23077009
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_2.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Otsu pre,NC310,DJI_0095.JPG,8.58502021,28.3809158,0,65138,449235,14.4997607
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_2.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Otsu post,NC310,DJI_0095.JPG,8.58502021,28.91601576,0,61956,449235,13.79144546
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_2.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Custom,NC310,DJI_0095.JPG,8.58502021,24.37419933,0,89013,449235,19.81435106
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_3.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,ExG 131,NC310,DJI_0111.JPG,8.58502021,26.06672125,0,89045,449235,19.82147428
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_3.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Otsu pre,NC310,DJI_0111.JPG,8.58502021,29.60104435,0,65900,449235,14.66938239
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_3.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Otsu post,NC310,DJI_0111.JPG,8.58502021,29.52980631,0,66390,449235,14.77845671
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_3.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Custom,NC310,DJI_0111.JPG,8.58502021,24.69747991,0,96162,449235,21.40572306
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_4.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,ExG 131,NC310,DJI_0112.JPG,8.58502021,25.92418879,1,45144,449235,10.04908344
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_4.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Otsu pre,NC310,DJI_0112.JPG,8.58502021,27.58685491,1,38703,449235,8.615312698
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_4.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Otsu post,NC310,DJI_0112.JPG,8.58502021,29.03491402,1,33746,449235,7.511881309
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_4.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Custom,NC310,DJI_0112.JPG,8.58502021,24.80058832,1,49730,449235,11.06992999
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_5.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,ExG 131,NC310,DJI_0113.JPG,8.58502021,25.08819515,0,50717,449235,11.28963683
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_5.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Otsu pre,NC310,DJI_0113.JPG,8.58502021,26.26379595,0,44994,449235,10.01569335
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_5.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Otsu post,NC310,DJI_0113.JPG,8.58502021,25.97782085,0,46297,449235,10.30574198
190903_djifc6310s_Sept3_SE_row_10_range_1_rep_5.tif,190903_djifc6310s_Sept3_SE_row_10_range_1,3565 and 3566,Custom,NC310,DJI_0113.JPG,8.58502021,23.5534769,0,58365,449235,12.99208655
