Filename,Plot,Row Numbers,Filter Type,Genotype,Image,Light Value,Average Saturation,Reference Rep,Pixels Remaining,Total,Percent Cover
190812_djifc6310s_Aug12_SW_row_10_range_1_rep_1_isref_0.tif,190812_djifc6310s_Aug12_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0152.JPG,10.22904954,21.20963867,0,85259,220195,38.71977111
190812_djifc6310s_Aug12_SW_row_10_range_1_rep_1_isref_0.tif,190812_djifc6310s_Aug12_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0152.JPG,10.22904954,21.51513069,0,81127,220195,36.84325257
190812_djifc6310s_Aug12_SW_row_10_range_1_rep_1_isref_0.tif,190812_djifc6310s_Aug12_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0152.JPG,10.22904954,21.76710686,0,77972,220195,35.41043166
190812_djifc6310s_Aug12_SW_row_10_range_1_rep_1_isref_0.tif,190812_djifc6310s_Aug12_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0152.JPG,10.22904954,20.56569584,0,92661,220195,42.081337
190812_djifc6310s_Aug12_SW_row_10_range_1_rep_2_isref_1.tif,190812_djifc6310s_Aug12_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0153.JPG,10.22904954,21.74141555,1,67703,220195,30.74683803
190812_djifc6310s_Aug12_SW_row_10_range_1_rep_2_isref_1.tif,190812_djifc6310s_Aug12_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0153.JPG,10.22904954,21.76249043,1,67329,220195,30.57698858
190812_djifc6310s_Aug12_SW_row_10_range_1_rep_2_isref_1.tif,190812_djifc6310s_Aug12_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0153.JPG,10.22904954,22.25277179,1,62423,220195,28.34896342
190812_djifc6310s_Aug12_SW_row_10_range_1_rep_2_isref_1.tif,190812_djifc6310s_Aug12_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0153.JPG,10.22904954,21.20290975,1,72551,220195,32.9485229
190812_djifc6310s_Aug12_SW_row_10_range_1_rep_3_isref_0.tif,190812_djifc6310s_Aug12_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0154.JPG,10.22904954,21.45413782,0,70091,220195,31.83133132
190812_djifc6310s_Aug12_SW_row_10_range_1_rep_3_isref_0.tif,190812_djifc6310s_Aug12_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0154.JPG,10.22904954,21.50272029,0,69570,220195,31.59472286
190812_djifc6310s_Aug12_SW_row_10_range_1_rep_3_isref_0.tif,190812_djifc6310s_Aug12_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0154.JPG,10.22904954,21.98762975,0,64483,220195,29.28449783
