Filename,Plot,Row Numbers,Filter Type,Genotype,Image,Light Value,Average Saturation,Reference Rep,Pixels Remaining,Total,Percent Cover
190706_djifc6310_J6_SW_row_10_range_1_rep_10_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0121.JPG,12.55097764,60.95524207,0,75997,201825,37.65489905
190706_djifc6310_J6_SW_row_10_range_1_rep_10_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0121.JPG,12.55097764,82.50715857,0,38391,201825,19.02192493
190706_djifc6310_J6_SW_row_10_range_1_rep_10_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0121.JPG,12.55097764,81.59142841,0,39724,201825,19.68239812
190706_djifc6310_J6_SW_row_10_range_1_rep_10_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0121.JPG,12.55097764,58.66643726,0,78257,201825,38.77468104
190706_djifc6310_J6_SW_row_10_range_1_rep_11_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0122.JPG,12.55097764,59.54191243,0,75964,201825,37.63854825
190706_djifc6310_J6_SW_row_10_range_1_rep_11_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0122.JPG,12.55097764,80.07670712,0,39292,201825,19.46835129
190706_djifc6310_J6_SW_row_10_range_1_rep_11_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0122.JPG,12.55097764,79.90241409,0,39521,201825,19.58181593
190706_djifc6310_J6_SW_row_10_range_1_rep_11_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0122.JPG,12.55097764,56.70926924,0,78984,201825,39.13489409
190706_djifc6310_J6_SW_row_10_range_1_rep_1_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0062.JPG,12.55097764,65.73201277,0,78250,201825,38.77121268
190706_djifc6310_J6_SW_row_10_range_1_rep_1_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0062.JPG,12.55097764,86.32938626,0,34205,201825,16.94785086
