Filename,Plot,Row Numbers,Filter Type,Genotype,Image,Light Value,Average Saturation,Reference Rep,ExG,ExG2,RGB,NGR,GLI,MGR,VARI,VEG,Woebbecke (no abs),Woebbecke (abs)
190812_djifc6310s_Aug12_NW2_row_2_range_4_rep_10_isref_0.tif,190812_djifc6310s_Aug12_NW2_row_2_range_4,2281 and 2282,ExG 131,Check,DJI_0316.JPG,10.64385619,33.18357175,0,0.1660672493,0.1330216456,0.192623782,0.06180318158,0.09612101962,0.1227982421,0.1028974423,1.19042254,2.312477937,2.756506087
190812_djifc6310s_Aug12_NW2_row_2_range_4_rep_10_isref_0.tif,190812_djifc6310s_Aug12_NW2_row_2_range_4,2281 and 2282,Otsu pre,Check,DJI_0316.JPG,10.64385619,36.21819236,0,0.1857980444,0.1494824094,0.2155680208,0.07237446632,0.1077887469,0.1437538151,0.1199733719,1.216909339,2.021111742,2.034556191
190812_djifc6310s_Aug12_NW2_row_2_range_4_rep_10_isref_0.tif,190812_djifc6310s_Aug12_NW2_row_2_range_4,2281 and 2282,Otsu post,Check,DJI_0316.JPG,10.64385619,36.47714028,0,0.1873242305,0.1508460967,0.2174434841,0.07321136776,0.1087477123,0.1454078454,0.1212776348,1.219115168,2.005142442,2.005142442
190812_djifc6310s_Aug12_NW2_row_2_range_4_rep_10_isref_0.tif,190812_djifc6310s_Aug12_NW2_row_2_range_4,2281 and 2282,Custom,Check,DJI_0316.JPG,10.64385619,33.20925272,0,0.1673327181,0.133565266,0.1932883633,0.06252895443,0.09649684013,0.1242384571,0.1040908202,1.19156877,2.23916024,2.626823671
190812_djifc6310s_Aug12_NW2_row_2_range_4_rep_11_isref_0.tif,190812_djifc6310s_Aug12_NW2_row_2_range_4,2281 and 2282,ExG 131,Check,DJI_0317.JPG,10.64385619,35.25290377,0,0.1737324962,0.1451474953,0.2089748019,0.06882902781,0.1045254701,0.1365555821,0.1134582129,1.210555407,2.169106287,2.725128266
190812_djifc6310s_Aug12_NW2_row_2_range_4_rep_11_isref_0.tif,190812_djifc6310s_Aug12_NW2_row_2_range_4,2281 and 2282,Otsu pre,Check,DJI_0317.JPG,10.64385619,38.73172743,0,0.1952095159,0.1645586717,0.2357770876,0.08128152332,0.1182155692,0.1611900027,0.1332801844,1.242144879,1.917985467,1.917985467
190812_djifc6310s_Aug12_NW2_row_2_range_4_rep_11_isref_0.tif,190812_djifc6310s_Aug12_NW2_row_2_range_4,2281 and 2282,Otsu post,Check,DJI_0317.JPG,10.64385619,39.33988489,0,0.1983746083,0.1677024256,0.2400670454,0.08308758849,0.120409699,0.1647444923,0.1360076345,1.247249824,1.883136099,1.883136099
190812_djifc6310s_Aug12_NW2_row_2_range_4_rep_11_isref_0.tif,190812_djifc6310s_Aug12_NW2_row_2_range_4,2281 and 2282,Custom,Check,DJI_0317.JPG,10.64385619,35.37809962,0,0.1755841232,0.1463666768,0.2105829578,0.06997557066,0.1053812735,0.1388291882,0.115331775,1.212774838,2.146823345,2.592898355
190812_djifc6310s_Aug12_NW2_row_2_range_4_rep_1_isref_0.tif,190812_djifc6310s_Aug12_NW2_row_2_range_4,2281 and 2282,ExG 131,Check,DJI_0283.JPG,10.22904954,38.41920096,0,0.1978307137,0.1519163494,0.2186198005,0.06966687412,0.1092214138,0.1382464454,0.1132944237,1.219555347,2.313216135,2.691876068
190812_djifc6310s_Aug12_NW2_row_2_range_4_rep_1_isref_0.tif,190812_djifc6310s_Aug12_NW2_row_2_range_4,2281 and 2282,Otsu pre,Check,DJI_0283.JPG,10.22904954,43.97073905,0,0.2315315575,0.1807867463,0.2584480205,0.08602788632,0.1294668298,0.1705569142,0.1382870692,1.265739955,1.949658478,1.949658478
