Filename,Plot,Row Numbers,Filter Type,Genotype,Image,Light Value,Average Saturation,Reference Rep,Pixels Remaining,Total,Percent Cover
190812_djifc6310s_Aug12_SE_row_10_range_1_rep_1.tif,190812_djifc6310s_Aug12_SE_row_10_range_1,3565 and 3566,ExG 131,NC310,DJI_0116.JPG,10.64385619,25.34014502,0,132528,276413,47.94564655
190812_djifc6310s_Aug12_SE_row_10_range_1_rep_1.tif,190812_djifc6310s_Aug12_SE_row_10_range_1,3565 and 3566,Otsu pre,NC310,DJI_0116.JPG,10.64385619,28.28835936,0,100988,276413,36.53518467
190812_djifc6310s_Aug12_SE_row_10_range_1_rep_1.tif,190812_djifc6310s_Aug12_SE_row_10_range_1,3565 and 3566,Otsu post,NC310,DJI_0116.JPG,10.64385619,28.66987141,0,97581,276413,35.30260878
190812_djifc6310s_Aug12_SE_row_10_range_1_rep_1.tif,190812_djifc6310s_Aug12_SE_row_10_range_1,3565 and 3566,Custom,NC310,DJI_0116.JPG,10.64385619,24.43678544,0,138441,276413,50.08483682
190812_djifc6310s_Aug12_SE_row_10_range_1_rep_2.tif,190812_djifc6310s_Aug12_SE_row_10_range_1,3565 and 3566,ExG 131,NC310,DJI_0117.JPG,10.64385619,22.33127298,0,62502,276413,22.61181638
190812_djifc6310s_Aug12_SE_row_10_range_1_rep_2.tif,190812_djifc6310s_Aug12_SE_row_10_range_1,3565 and 3566,Otsu pre,NC310,DJI_0117.JPG,10.64385619,23.77229157,0,52355,276413,18.94086023
190812_djifc6310s_Aug12_SE_row_10_range_1_rep_2.tif,190812_djifc6310s_Aug12_SE_row_10_range_1,3565 and 3566,Otsu post,NC310,DJI_0117.JPG,10.64385619,24.56074085,0,47488,276413,17.18008921
190812_djifc6310s_Aug12_SE_row_10_range_1_rep_2.tif,190812_djifc6310s_Aug12_SE_row_10_range_1,3565 and 3566,Custom,NC310,DJI_0117.JPG,10.64385619,21.20196184,0,68870,276413,24.9156154
190812_djifc6310s_Aug12_SE_row_10_range_1_rep_3.tif,190812_djifc6310s_Aug12_SE_row_10_range_1,3565 and 3566,ExG 131,NC310,DJI_0118.JPG,10.64385619,22.39234027,0,68844,276413,24.90620919
190812_djifc6310s_Aug12_SE_row_10_range_1_rep_3.tif,190812_djifc6310s_Aug12_SE_row_10_range_1,3565 and 3566,Otsu pre,NC310,DJI_0118.JPG,10.64385619,23.74830451,0,58251,276413,21.07390029
190812_djifc6310s_Aug12_SE_row_10_range_1_rep_3.tif,190812_djifc6310s_Aug12_SE_row_10_range_1,3565 and 3566,Otsu post,NC310,DJI_0118.JPG,10.64385619,24.56124525,0,52709,276413,19.06892946
