Filename,Plot,Row Numbers,Filter Type,Genotype,Image,Light Value,Average Saturation,Reference Rep,ExG,ExG2,RGB,NGR,GLI,MGR,VARI,VEG,Woebbecke (no abs),Woebbecke (abs)
190706_djifc6310_J6_SW_row_10_range_1_rep_10_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0121.JPG,12.55097764,60.95524207,0,0.2347904342,0.1822826449,0.2391532152,0.1098468653,0.1260890767,0.2072891181,0.177814773,1.328085217,1.60686575,2.322476166
190706_djifc6310_J6_SW_row_10_range_1_rep_10_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0121.JPG,12.55097764,82.50715857,0,0.3595122631,0.2895621826,0.368428418,0.1782541904,0.197473867,0.3326042022,0.2791951245,1.545337764,1.259685942,1.259685942
190706_djifc6310_J6_SW_row_10_range_1_rep_10_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0121.JPG,12.55097764,81.59142841,0,0.3538795137,0.2843226819,0.3624898761,0.1750061126,0.1940774137,0.3268352826,0.2746559631,1.533976868,1.269964328,1.269964328
190706_djifc6310_J6_SW_row_10_range_1_rep_10_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0121.JPG,12.55097764,58.66643726,0,0.2281079911,0.1759578491,0.2306425951,0.1061414693,0.1216851598,0.2002513041,0.1716923149,1.316983626,1.512945324,2.246629802
190706_djifc6310_J6_SW_row_10_range_1_rep_11_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0122.JPG,12.55097764,59.54191243,0,0.2302516878,0.1716837193,0.2282035044,0.1029023667,0.1194827951,0.1951491228,0.1679934708,1.303078707,1.617400964,2.560070543
190706_djifc6310_J6_SW_row_10_range_1_rep_11_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0122.JPG,12.55097764,80.07670712,0,0.3476775195,0.2678514024,0.3463541876,0.166769469,0.1840477192,0.313369506,0.2651259521,1.494844405,1.297641358,1.297641358
190706_djifc6310_J6_SW_row_10_range_1_rep_11_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0122.JPG,12.55097764,79.90241409,0,0.3467536495,0.2670857807,0.345479334,0.1662623812,0.1835492647,0.3124629245,0.2643927011,1.493174377,1.299882094,1.299882094
190706_djifc6310_J6_SW_row_10_range_1_rep_11_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0122.JPG,12.55097764,56.70926924,0,0.2219606652,0.1644078951,0.2184041238,0.09849771293,0.1144091428,0.1867596314,0.1607087456,1.290290389,1.511452827,2.49616487
190706_djifc6310_J6_SW_row_10_range_1_rep_1_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0062.JPG,12.55097764,65.73201277,0,0.2241430308,0.1684410649,0.2252714,0.08431067425,0.1168433853,0.1608062945,0.132600012,1.286120247,1.478208624,3.566011622
190706_djifc6310_J6_SW_row_10_range_1_rep_1_isref_0.tif,190706_djifc6310_J6_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0062.JPG,12.55097764,86.32938626,0,0.3727467891,0.2943604743,0.3791521771,0.1568837447,0.2006922688,0.296530937,0.2359140273,1.531169618,1.670346406,1.694577134
