Filename,Plot,Row Numbers,Filter Type,Genotype,Image,Light Value,Average Saturation,Reference Rep,ExG,ExG2,RGB,NGR,GLI,MGR,VARI,VEG,Woebbecke (no abs),Woebbecke (abs)
190903_djifc6310s_Sept3_SW_row_10_range_1_rep_1_isref_0.tif,190903_djifc6310s_Sept3_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0083.JPG,8.58502021,20.43818478,0,0.09083731262,0.05771060426,0.08606598838,0.02202028584,0.04258327542,0.04393372278,0.04032389188,1.07555681,3.570204655,5.57329465
190903_djifc6310s_Sept3_SW_row_10_range_1_rep_1_isref_0.tif,190903_djifc6310s_Sept3_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0083.JPG,8.58502021,19.74881773,0,0.08510492981,0.05413720716,0.0808748669,0.01935798872,0.03997169174,0.03862261729,0.0355255028,1.069938008,2.926201968,5.497729223
190903_djifc6310s_Sept3_SW_row_10_range_1_rep_1_isref_0.tif,190903_djifc6310s_Sept3_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0083.JPG,8.58502021,19.84967033,0,0.08614491693,0.05479487562,0.08182843187,0.01987067504,0.040452937,0.0396457835,0.03644921412,1.070981912,3.121843481,5.503882819
190903_djifc6310s_Sept3_SW_row_10_range_1_rep_1_isref_0.tif,190903_djifc6310s_Sept3_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0083.JPG,8.58502021,19.80628818,0,0.08536799718,0.05363853512,0.08008573273,0.01930927415,0.03960135556,0.03852452516,0.03539978885,1.069375144,2.954988691,5.483213465
190903_djifc6310s_Sept3_SW_row_10_range_1_rep_2_isref_0.tif,190903_djifc6310s_Sept3_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0084.JPG,8.58502021,19.7414843,0,0.09166389396,0.05989732226,0.08918967295,0.02411505126,0.04417310322,0.04811877246,0.04406758003,1.079319493,3.741385935,4.932855443
190903_djifc6310s_Sept3_SW_row_10_range_1_rep_2_isref_0.tif,190903_djifc6310s_Sept3_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0084.JPG,8.58502021,19.1197865,0,0.08585393455,0.05610257004,0.08369157718,0.02111457765,0.04140132241,0.04213218295,0.03864600885,1.073232376,3.154021686,4.954245073
190903_djifc6310s_Sept3_SW_row_10_range_1_rep_2_isref_0.tif,190903_djifc6310s_Sept3_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0084.JPG,8.58502021,19.19121737,0,0.08673105449,0.05669054655,0.08454351201,0.02158448902,0.04183141127,0.0430701043,0.03949359498,1.074174024,3.326799922,4.943797608
190903_djifc6310s_Sept3_SW_row_10_range_1_rep_2_isref_0.tif,190903_djifc6310s_Sept3_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0084.JPG,8.58502021,19.11725933,0,0.08604764015,0.05548870309,0.08271076814,0.02118024416,0.04094573932,0.0422629128,0.03872400406,1.07261682,3.201366746,4.916975674
190903_djifc6310s_Sept3_SW_row_10_range_1_rep_3_isref_0.tif,190903_djifc6310s_Sept3_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0085.JPG,8.58502021,17.80021419,0,0.08821225879,0.05868560714,0.0870934683,0.02821307839,0.0432788409,0.0562886545,0.05223297283,1.080811211,2.90895993,3.300894038
190903_djifc6310s_Sept3_SW_row_10_range_1_rep_3_isref_0.tif,190903_djifc6310s_Sept3_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0085.JPG,8.58502021,17.08168046,0,0.0823971277,0.05461531126,0.08116416851,0.02525403537,0.04030619122,0.0503895783,0.04684146763,1.074418553,2.792473459,3.376921479
190903_djifc6310s_Sept3_SW_row_10_range_1_rep_3_isref_0.tif,190903_djifc6310s_Sept3_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0085.JPG,8.58502021,16.16282752,0,0.07500989132,0.04972450358,0.07402218895,0.02176838794,0.036724625,0.04343639432,0.04048820794,1.066843603,2.662561616,3.485718024
190903_djifc6310s_Sept3_SW_row_10_range_1_rep_3_isref_0.tif,190903_djifc6310s_Sept3_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0085.JPG,8.58502021,16.61188253,0,0.0808141007,0.05261304203,0.07814420087,0.02472273148,0.03883430051,0.04933080321,0.04589049699,1.071913223,2.85765393,3.318375458
