Filename,Plot,Row Numbers,Filter Type,Genotype,Image,Light Value,Average Saturation,Reference Rep,Pixels Remaining,Total,Percent Cover
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_1_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0400.JPG,12.63263175,19.65362338,0,59686,188790,31.61502198
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_1_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0400.JPG,12.63263175,19.26288461,0,64405,188790,34.11462472
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_1_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0400.JPG,12.63263175,18.95094817,0,67992,188790,36.01461942
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_1_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0400.JPG,12.63263175,18.1889086,0,62933,188790,33.3349224
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_2_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0401.JPG,12.97756614,20.77029398,0,53950,188790,28.57672546
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_2_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0401.JPG,12.97756614,20.46480282,0,57602,188790,30.51114995
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_2_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0401.JPG,12.97756614,20.19546668,0,60497,188790,32.04459982
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_2_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0401.JPG,12.97756614,19.51966416,0,51746,188790,27.40929075
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_3_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0402.JPG,12.97756614,20.66954984,0,54206,188790,28.71232586
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_3_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0402.JPG,12.97756614,20.4066891,0,57507,188790,30.46082949
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_3_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0402.JPG,12.97756614,20.17964377,0,60139,188790,31.85497113
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_3_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0402.JPG,12.97756614,19.64805529,0,51554,188790,27.30759044
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_4_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0407.JPG,12.63263175,20.46715082,0,69174,188790,36.6407119
190814_djifc6310s_Aug14_SW_row_10_range_1_rep_4_isref_0.tif,190814_djifc6310s_Aug14_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0407.JPG,12.63263175,20.60545551,0,67378,188790,35.68939033
