Filename,Plot,Row Numbers,Filter Type,Genotype,Image,Light Value,Average Saturation,Reference Rep,Pixels Remaining,Total,Percent Cover
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_10_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0739.JPG,12.31116539,25.85780545,0,44597,276413,16.1341905
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_10_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0739.JPG,12.31116539,25.22000706,0,51384,276413,18.5895743
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_10_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0739.JPG,12.31116539,24.57196316,0,63599,276413,23.00868628
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_10_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0739.JPG,12.31116539,25.09583861,0,50666,276413,18.32981806
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_1_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0690.JPG,12.63263175,22.76043536,0,36179,276413,13.08874763
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_1_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0690.JPG,12.63263175,21.73773792,0,46437,276413,16.79986108
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_1_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0690.JPG,12.63263175,21.07677453,0,54705,276413,19.79103732
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_1_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0690.JPG,12.63263175,21.83610554,0,35802,276413,12.95235752
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_2_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0691.JPG,12.63263175,24.17492331,0,37471,276413,13.55616415
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_2_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0691.JPG,12.63263175,23.52930089,0,43934,276413,15.89433203
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_2_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0691.JPG,12.63263175,22.75529645,0,54429,276413,19.69118674
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_2_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0691.JPG,12.63263175,23.45352369,0,38248,276413,13.83726525
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_3_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0692.JPG,12.63263175,22.84538613,0,46018,276413,16.64827631
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_3_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0692.JPG,12.63263175,22.20291504,0,54385,276413,19.67526853
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_3_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,Otsu post,EP1,DJI_0692.JPG,12.63263175,21.36107787,0,68577,276413,24.8096146
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_3_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,Custom,EP1,DJI_0692.JPG,12.63263175,21.81054079,0,49696,276413,17.9788939
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_4_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,ExG 131,EP1,DJI_0729.JPG,12.31116539,24.50267283,0,39750,276413,14.38065503
190905_djifc6310s_Sept5_SW_row_10_range_1_rep_4_isref_0.tif,190905_djifc6310s_Sept5_SW_row_10_range_1,4565 and 4566,Otsu pre,EP1,DJI_0729.JPG,12.31116539,23.61686722,0,49063,276413,17.74988875
