SPID,COUNT,Calc Area,pArea,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
4001,27982,4.385362241,0.941064859,4.385362534,0,1.270355225,1.270355225,0.4691874,0.466455181,13128.80182
4002,29269,4.587061949,0.984348058,4.587062254,0,1.551086426,1.551086426,0.572192528,0.549463334,16747.50311
4003,28870,4.524530338,0.970929257,4.524530639,0,1.593933105,1.593933105,1.074963023,0.515347825,31034.18246
4004,29497,4.622794298,0.992015944,4.622794606,3.05176E-05,1.627807617,1.6277771,0.990504955,0.575508755,29216.92465
4005,27937,4.378309804,0.93955146,4.378310096,0,1.418457031,1.418457031,0.791463858,0.417367486,22111.12579
4006,28824,4.51732118,0.969382227,4.517321481,0,1.370239258,1.370239258,0.900689467,0.233421751,25961.47321
4007,26592,4.167520289,0.894317659,4.167520567,0,1.313049316,1.313049316,0.446207306,0.366578919,11865.54468
4008,24964,3.912378779,0.839566262,3.91237904,0,1.071044922,1.071044922,0.403547443,0.372188421,10074.15836
4009,28610,4.483782922,0.962185176,4.483783221,0,1.138977051,1.138977051,0.752721663,0.306285583,21535.36679
4010,29127,4.564807591,0.979572444,4.564807895,9.15527E-05,1.23147583,1.231384277,0.706399776,0.312966726,20575.30627
4011,25651,4.020045989,0.862670813,4.020046256,0,1.070831299,1.070831299,0.674926589,0.28160543,17312.54193
4012,24419,3.826965927,0.821237323,3.826966182,0,0.987792969,0.987792969,0.542479966,0.343261794,13246.8183
4013,24406,3.824928556,0.820800119,3.824928811,0,1.052215576,1.052215576,0.606834565,0.314875334,14810.40439
4014,26958,4.224880112,0.906626634,4.224880394,0,1.212982178,1.212982178,0.748243804,0.217765984,20171.15646
4015,25814,4.045591484,0.868152679,4.045591753,0,1.089416504,1.089416504,0.738487627,0.24323502,19063.31961
4016,24152,3.785121466,0.812257825,3.785121718,0,1.030303955,1.030303955,0.775970345,0.243147812,18741.23578
4017,19505,3.056839773,0.6559742,3.056839976,0,1.092712402,1.092712402,0.451231687,0.396313472,8801.274048
4018,25292,3.963783211,0.850597256,3.963783475,0,1.016723633,1.016723633,0.305876212,0.310114716,7736.221161
4019,24868,3.897333579,0.836337678,3.897333839,0,0.922454834,0.922454834,0.488690212,0.263866047,12152.7482
4020,27017,4.234126641,0.908610867,4.234126923,0,0.963470459,0.963470459,0.400053735,0.306680975,10808.25177
4021,25818,4.046218367,0.868287203,4.046218637,9.15527E-05,0.980163574,0.980072021,0.71992403,0.220347119,18586.9986
4022,27789,4.355115121,0.93457406,4.355115412,0,1.064483643,1.064483643,0.725635472,0.241033591,20164.68414
4023,26531,4.157960318,0.892266163,4.157960595,0,0.953735352,0.953735352,0.611983759,0.247658918,16236.54111
4024,27495,4.309039198,0.924686523,4.309039485,6.10352E-05,0.981140137,0.981079102,0.425440928,0.303065065,11697.49832
4025,17916,2.807810375,0.602534415,2.807810562,0,0.90145874,0.90145874,0.146366018,0.242238881,2622.293579
4026,22801,3.573391626,0.766822237,3.573391864,0,1.00579834,1.00579834,0.230186216,0.343790733,5248.475922
4027,28009,4.389593704,0.941972898,4.389593996,0,0.957977295,0.957977295,0.618857864,0.260827711,17333.5899
4028,25915,4.061420288,0.871549418,4.061420558,0,0.962158203,0.962158203,0.534702577,0.305876959,13856.81729
4029,22396,3.50991969,0.75320165,3.509919924,0,0.908905029,0.908905029,0.438473535,0.284889064,9820.053284
4030,23544,3.689835202,0.791810129,3.689835447,0,0.889190674,0.889190674,0.311331431,0.304493284,7329.987213
4031,17748,2.781481276,0.596884394,2.781481461,0,0.664855957,0.664855957,0.079989038,0.157933266,1419.645447
4032,23232,3.640938303,0.781317232,3.640938545,0,0.763916016,0.763916016,0.11145937,0.186463732,2589.424072
4033,20345,3.188485269,0.684224307,3.188485482,0,1.048217773,1.048217773,0.300694268,0.3487117,6117.624878
4034,27607,4.32659193,0.928453204,4.326592219,0,1.088256836,1.088256836,0.368801526,0.378103018,10181.50372
4035,27145,4.254186907,0.912915645,4.254187191,0,1.018005371,1.018005371,0.516626662,0.30601399,14023.83075
4036,27878,4.369063275,0.937567226,4.369063566,0,0.979888916,0.979888916,0.398084766,0.35480473,11097.8071
4037,24324,3.812077448,0.818042371,3.812077702,0,1.09161377,1.09161377,0.071575177,0.173095434,1740.994598
4038,28405,4.451655152,0.955290805,4.451655449,0,1.115356445,1.115356445,0.259243784,0.339184625,7363.819672
4039,27988,4.386302566,0.941266645,4.386302859,0,1.309265137,1.309265137,0.417618186,0.424933024,11688.29779
4040,28007,4.389280262,0.941905636,4.389280555,0,1.172088623,1.172088623,0.3551917,0.383891839,9947.853943
4041,27669,4.336308622,0.930538331,4.336308911,0,1.169677734,1.169677734,0.4885816,0.387082042,13518.5643
4042,28054,4.396646141,0.943486296,4.396646434,0,1.597320557,1.597320557,0.784324959,0.483875809,22003.45239
4043,28666,4.492559289,0.964068517,4.492559588,0,1.653778076,1.653778076,1.296800891,0.295523716,37174.09433
4044,27798,4.356525609,0.93487674,4.356525899,0,1.581726074,1.581726074,1.27711946,0.257284536,35501.36676
4045,26973,4.227230925,0.9071311,4.227231206,0,1.469970703,1.469970703,1.029241438,0.215773182,27761.72931
4046,26738,4.19040153,0.899227796,4.190401809,9.15527E-05,1.239898682,1.239807129,0.893531874,0.308778333,23891.25525
4047,25825,4.047315413,0.868522621,4.047315683,0,1.123077393,1.123077393,0.864397555,0.225776469,22323.06686
4048,28279,4.431908328,0.951053289,4.431908623,0,1.093353271,1.093353271,0.782550788,0.241907713,22129.75372
4049,25697,4.027255147,0.864217843,4.027255415,0,0.934936523,0.934936523,0.552431327,0.296530888,14195.82782
4050,28239,4.425639495,0.949708046,4.425639789,0,1.040588379,1.040588379,0.499596534,0.261365001,14108.10654
4051,25242,3.95594717,0.848915702,3.955947433,0,1.019073486,1.019073486,0.459029565,0.324225754,11586.82428
4052,27017,4.234126641,0.908610867,4.234126923,0,1.210021973,1.210021973,0.479425311,0.412847162,12952.63364
4053,26388,4.13554924,0.887456918,4.135549515,0,1.413635254,1.413635254,0.82247291,0.412212158,21703.41516
4054,27855,4.365458696,0.936793712,4.365458987,0,1.269348145,1.269348145,0.646167697,0.442608269,17999.00119
4055,25372,3.976320877,0.853287742,3.976321142,0,1.051147461,1.051147461,0.575336928,0.381680663,14597.44855
4056,27706,4.342107293,0.931782681,4.342107582,3.05176E-05,1.121887207,1.121856689,0.502310103,0.396863815,13917.00372
4057,27975,4.384265196,0.940829441,4.384265488,3.05176E-05,1.205200195,1.205169678,0.749056755,0.338580522,20954.86273
4058,28167,4.414355595,0.947286608,4.414355889,0,1.274993896,1.274993896,0.706598561,0.402980066,19902.76166
4059,27258,4.271896361,0.916715957,4.271896646,0,1.121643066,1.121643066,0.664333395,0.302467225,18108.39969
4060,28364,4.445229598,0.953911931,4.445229894,0,1.094451904,1.094451904,0.651944292,0.300538051,18491.74789
4061,28528,4.470931814,0.959427428,4.470932112,3.05176E-05,1.144592285,1.144561768,0.74438517,0.299510291,21235.82013
4062,28601,4.482372435,0.961882497,4.482372733,0.000213623,1.119995117,1.119781494,0.75711248,0.272964192,21654.17404
4063,28416,4.453379081,0.955660747,4.453379378,6.10352E-05,1.286743164,1.286682129,0.769673767,0.304953769,21871.04977
4064,29282,4.589099319,0.984785262,4.589099625,0,1.198944092,1.198944092,0.586236109,0.376616055,17166.16574
4065,22786,3.571040813,0.766317771,3.571041051,0,1.086883545,1.086883545,0.338333233,0.346886379,7709.261047
4066,27148,4.25465707,0.913016539,4.254657353,0,1.49710083,1.49710083,0.625422431,0.401026277,16978.96817
4067,27734,4.346495476,0.932724351,4.346495765,0,1.724822998,1.724822998,1.106277948,0.453941802,30681.5126
4068,27634,4.330823393,0.929361243,4.330823681,0,1.626251221,1.626251221,0.850727929,0.559304869,23509.01559
4069,24634,3.860660905,0.828468005,3.860661163,0,1.350921631,1.350921631,0.499217343,0.427718259,12297.72003
4070,28766,4.508231371,0.967431625,4.508231672,0,1.148498535,1.148498535,0.527274446,0.410647289,15167.57672
4071,26322,4.125205665,0.885237267,4.12520594,0,1.084564209,1.084564209,0.551639094,0.3836185,14520.24423
4072,25525,4.000299164,0.858433297,4.000299431,0,1.041442871,1.041442871,0.395031832,0.409374255,10083.1875
4073,25976,4.070980258,0.873600914,4.070980529,0,0.959350586,0.959350586,0.381821071,0.273420989,9918.184143
4074,29346,4.599129452,0.986937651,4.599129759,0,0.891998291,0.891998291,0.468195502,0.230547731,13739.66519
4075,23453,3.675573606,0.788749701,3.675573851,0,1.099304199,1.099304199,0.410261834,0.303686134,9621.870789
4076,27972,4.383795033,0.940728548,4.383795325,0,1.20010376,1.20010376,0.557249115,0.379569312,15587.37225
4077,28805,4.514343484,0.968743237,4.514343785,0,1.051239014,1.051239014,0.612974249,0.287184002,17656.72324
4078,27516,4.312330335,0.925392776,4.312330622,3.05176E-05,1.053283691,1.053253174,0.561432845,0.323316096,15448.38617
4079,27944,4.37940685,0.939786878,4.379407142,0,0.993774414,0.993774414,0.398360357,0.351749168,11131.78183
4080,29349,4.599599615,0.987038544,4.599599921,0,1.072784424,1.072784424,0.380029134,0.331905717,11153.47507
4081,28216,4.422034915,0.948934531,4.42203521,0,1.234619141,1.234619141,0.482659643,0.445804998,13618.72449
4082,29232,4.581263278,0.983103708,4.581263583,3.05176E-05,1.220489502,1.220458984,0.49897647,0.400054403,14586.08017
4083,29325,4.595838315,0.986231398,4.595838621,0,1.183441162,1.183441162,0.673727023,0.326632822,19757.04495
4084,29581,4.635958847,0.994840954,4.635959156,3.05176E-05,1.644439697,1.64440918,0.803665514,0.441545016,23773.22958
4085,29573,4.634705081,0.994571906,4.634705389,3.05176E-05,1.758605957,1.758575439,1.329679693,0.379033133,39322.61755
4086,29657,4.64786963,0.997396916,4.64786994,0.000213623,1.79901123,1.798797607,1.297713567,0.462219646,38486.29126
4087,29397,4.607122215,0.988652836,4.607122522,0,1.609405518,1.609405518,1.017880314,0.475456334,29922.62759
4088,29292,4.590666528,0.985121572,4.590666833,0,1.529022217,1.529022217,0.831734376,0.492087023,24363.16333
4089,28888,4.527351313,0.971534616,4.527351614,0,1.423492432,1.423492432,0.82081755,0.385391794,23711.77737
4090,29457,4.616525464,0.990670701,4.616525772,3.05176E-05,1.486816406,1.486785889,0.891582512,0.327363616,26263.34607
4091,29293,4.590823248,0.985155204,4.590823554,3.05176E-05,1.236083984,1.236053467,0.640231479,0.438835798,18754.30072
4092,28317,4.437863719,0.95233127,4.437864015,0,1.156860352,1.156860352,0.337331927,0.411537633,9552.22818
4093,27292,4.277224869,0.917859414,4.277225154,0,1.218383789,1.218383789,0.683484717,0.378485733,18653.66489
4094,28575,4.478297693,0.961008089,4.478297991,0,1.308074951,1.308074951,0.760246319,0.358332299,21724.03857
4095,24801,3.886833284,0.834084396,3.886833543,0,1.184661865,1.184661865,0.585168482,0.458769768,14512.76352
4096,25103,3.934162974,0.844240982,3.934163236,0,1.364746094,1.364746094,0.68337744,0.445556715,17154.82388
4101,23505,3.683723089,0.790498517,3.683723335,0,1.157897949,1.157897949,0.345706028,0.389088853,8125.82019
4102,27953,4.380817337,0.940089557,4.380817629,0,1.149902344,1.149902344,0.490010755,0.397968932,13697.27063
4103,28394,4.449931223,0.954920863,4.449931519,0,1.084350586,1.084350586,0.778278772,0.228525225,22098.44745
