	Plot	Row Numbers	Filter Type	Genotype	ExG	RGB	NGR	GLI	VARI	MGR	VEG
180701_djifc6310_J1_NE_row_12_range_1_rep_1.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 135	check1	0.4624809378	0.4032139065	0.1819875087	0.2145250908	0.2776560752	0.3428933717	1.573711766
180701_djifc6310_J1_NE_row_12_range_1_rep_1.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 136	check1	0.4671047701	0.4054563703	0.1838229509	0.2158807812	0.2804959967	0.3463556803	1.578081777
180701_djifc6310_J1_NE_row_12_range_1_rep_1.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 137	check1	0.4717265141	0.4075787516	0.1855725841	0.2171464705	0.2832355569	0.3496543512	1.582266492
180701_djifc6310_J1_NE_row_12_range_1_rep_1.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 138	check1	0.4763760475	0.4097767621	0.1873290765	0.2184455415	0.2859655871	0.3529791674	1.586477345
180701_djifc6310_J1_NE_row_12_range_1_rep_1.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 139	check1	0.4803198549	0.4115368401	0.1887289638	0.219474096	0.2881583394	0.355628847	1.589760678
180701_djifc6310_J1_NE_row_12_range_1_rep_1.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 140	check1	0.484168298	0.4133575693	0.1901352115	0.2205386357	0.2903356914	0.3582784496	1.593189594
180701_djifc6310_J1_NE_row_12_range_1_rep_1.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Otsu pre	check1	0.5069266514	0.4251913715	0.198114004	0.2273214355	0.3023218847	0.3732005466	1.614168454
180701_djifc6310_J1_NE_row_12_range_1_rep_1.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Otsu post	check1	0.5097382685	0.4269543705	0.1990787174	0.2283217544	0.303651937	0.3749863488	1.617266956
180701_djifc6310_J1_NE_row_12_range_1_rep_1.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Custom	check1	0.4773397419	0.4066043173	0.186659767	0.2169105878	0.2851323035	0.3517323235	1.582385838
180701_djifc6310_J1_NE_row_12_range_1_rep_10.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 135	check1	0.455181233	0.4729018979	0.2181819858	0.261869985	0.312321542	0.3961608651	1.79333536
180701_djifc6310_J1_NE_row_12_range_1_rep_10.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 136	check1	0.4617247482	0.4769110764	0.2213148279	0.2643546097	0.3169176141	0.4018934018	1.80325362
180701_djifc6310_J1_NE_row_12_range_1_rep_10.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 137	check1	0.4679070217	0.4804908298	0.2241655334	0.2665851609	0.3211020678	0.4070911239	1.812295209
180701_djifc6310_J1_NE_row_12_range_1_rep_10.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 138	check1	0.4736835749	0.4837505184	0.2268196553	0.2686254506	0.3250044202	0.4119248816	1.820714918
180701_djifc6310_J1_NE_row_12_range_1_rep_10.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 139	check1	0.4784917024	0.4862287041	0.2288930235	0.2701834076	0.3280658851	0.4156638283	1.827184155
180701_djifc6310_J1_NE_row_12_range_1_rep_10.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 140	check1	0.4829750709	0.4886008763	0.2308370678	0.2716712093	0.3309176907	0.419180811	1.833307609
180701_djifc6310_J1_NE_row_12_range_1_rep_10.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Otsu pre	check1	0.5266919561	0.5111187941	0.2471096711	0.2858856736	0.3532680623	0.4477951154	1.892075332
180701_djifc6310_J1_NE_row_12_range_1_rep_10.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Otsu post	check1	0.5272144784	0.5116926868	0.2474324061	0.2862471476	0.353649316	0.4483344213	1.893528753
180701_djifc6310_J1_NE_row_12_range_1_rep_10.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Custom	check1	0.4766259574	0.4814025558	0.2270833165	0.2677398086	0.3254682785	0.412218866	1.819728376
180701_djifc6310_J1_NE_row_12_range_1_rep_2.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 135	check1	0.4521770901	0.4284579473	0.1917384588	0.2311568658	0.2843868684	0.3565971785	1.641079388
180701_djifc6310_J1_NE_row_12_range_1_rep_2.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 136	check1	0.4575831337	0.4309726532	0.1938132064	0.2326739385	0.2875534688	0.3605444916	1.646608329
180701_djifc6310_J1_NE_row_12_range_1_rep_2.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 137	check1	0.4628487876	0.4333520973	0.1957915083	0.2341135387	0.2905021964	0.364278748	1.651755609
180701_djifc6310_J1_NE_row_12_range_1_rep_2.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 138	check1	0.4677047716	0.4354762009	0.1975697197	0.2353908555	0.2932391655	0.3676627845	1.656376277
180701_djifc6310_J1_NE_row_12_range_1_rep_2.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 139	check1	0.471850631	0.4372270897	0.1990232433	0.2364418071	0.2954573167	0.3704090874	1.660208709
180701_djifc6310_J1_NE_row_12_range_1_rep_2.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 140	check1	0.4760687558	0.4391455908	0.200525765	0.2375843248	0.2977364651	0.3732506786	1.664260782
180701_djifc6310_J1_NE_row_12_range_1_rep_2.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Otsu pre	check1	0.5147146851	0.4591918093	0.2124336675	0.2493574764	0.3138853802	0.3952653074	1.703641551
180701_djifc6310_J1_NE_row_12_range_1_rep_2.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Otsu post	check1	0.5158785705	0.4600867756	0.2128488101	0.249883042	0.3143686558	0.3960026577	1.70534488
180701_djifc6310_J1_NE_row_12_range_1_rep_2.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Custom	check1	0.4696062673	0.4324393892	0.1970532865	0.233986511	0.2925445005	0.3666832238	1.652747389
180701_djifc6310_J1_NE_row_12_range_1_rep_3.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 135	check1	0.4600177236	0.4546906488	0.2092066574	0.2497302344	0.3039996605	0.3824522342	1.731857042
180701_djifc6310_J1_NE_row_12_range_1_rep_3.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 136	check1	0.4657212034	0.4575471488	0.2115611479	0.251496213	0.3075226374	0.3868433716	1.73873071
180701_djifc6310_J1_NE_row_12_range_1_rep_3.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 137	check1	0.4712286808	0.4602445009	0.2138024478	0.2531696978	0.3108715433	0.3909710978	1.745305477
180701_djifc6310_J1_NE_row_12_range_1_rep_3.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 138	check1	0.476289545	0.4627552053	0.215847966	0.2547346974	0.3138911542	0.3947413051	1.75128225
180701_djifc6310_J1_NE_row_12_range_1_rep_3.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 139	check1	0.4808581939	0.4649946731	0.2176072094	0.2561027785	0.3164920208	0.3979809772	1.756508077
180701_djifc6310_J1_NE_row_12_range_1_rep_3.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 140	check1	0.4854206344	0.4674713978	0.2193984689	0.257605689	0.3190536002	0.4012706454	1.761940748
180701_djifc6310_J1_NE_row_12_range_1_rep_3.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Otsu pre	check1	0.5282211263	0.4947336225	0.2356233743	0.2740843688	0.3402494803	0.4302409764	1.821769312
180701_djifc6310_J1_NE_row_12_range_1_rep_3.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Otsu post	check1	0.5279676256	0.4947446868	0.2356284076	0.2740939268	0.3402540693	0.4302405254	1.82185127
180701_djifc6310_J1_NE_row_12_range_1_rep_3.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Custom	check1	0.4780395182	0.4591857823	0.2150775391	0.2530612605	0.3127508309	0.3932857043	1.747012237
180701_djifc6310_J1_NE_row_12_range_1_rep_4.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 135	check1	0.4629895671	0.4844346638	0.2256747376	0.2698922464	0.3222203239	0.4060536338	1.836067459
180701_djifc6310_J1_NE_row_12_range_1_rep_4.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 136	check1	0.4683380913	0.4876236145	0.2280887135	0.2718667084	0.3256698591	0.4105133228	1.844207449
180701_djifc6310_J1_NE_row_12_range_1_rep_4.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 137	check1	0.4735474025	0.4907940387	0.2304823225	0.2738399753	0.3290841727	0.4148587012	1.852312889
180701_djifc6310_J1_NE_row_12_range_1_rep_4.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 138	check1	0.4785317313	0.4937654151	0.2327262606	0.2756925498	0.3322455534	0.4189340227	1.859890876
180701_djifc6310_J1_NE_row_12_range_1_rep_4.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 139	check1	0.4830211489	0.4963488672	0.2346110172	0.2772749013	0.3349142804	0.4223907703	1.866567234
180701_djifc6310_J1_NE_row_12_range_1_rep_4.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 140	check1	0.4874639161	0.4991065643	0.236575118	0.2789846012	0.3376355574	0.4259413114	1.873508948
180701_djifc6310_J1_NE_row_12_range_1_rep_4.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Otsu pre	check1	0.54427232	0.5361498192	0.2589977508	0.3022901855	0.3653800414	0.4647987086	1.968393407
180701_djifc6310_J1_NE_row_12_range_1_rep_4.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Otsu post	check1	0.5463752209	0.5378930249	0.2599716165	0.3034285645	0.3664309791	0.4664222062	1.973096102
180701_djifc6310_J1_NE_row_12_range_1_rep_4.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	Custom	check1	0.4801319137	0.4904434864	0.2321483146	0.2742152393	0.331250675	0.4178045817	1.856640295
180701_djifc6310_J1_NE_row_12_range_1_rep_5.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 135	check1	0.4381494549	0.4758953156	0.2157242003	0.2646704496	0.3057964592	0.3867004003	1.822265071
180701_djifc6310_J1_NE_row_12_range_1_rep_5.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 136	check1	0.4459444548	0.4805670456	0.2191966215	0.2676075158	0.3106882564	0.3929959543	1.83452552
180701_djifc6310_J1_NE_row_12_range_1_rep_5.tif	180701_djifc6310_J1_NE_row_12_range_1	4523 and 4524	ExG 137	check1	0.4535385586	0.4850820294	0.2225542762	0.2704532305	0.3154021187	0.3990442269	1.846319414
