Filename,Plot,Row Numbers,Filter Type,Genotype,Image,Light Value,Average Saturation,Reference Rep,ExG,ExG2,RGB,NGR,GLI,MGR,VARI,VEG,Woebbecke (no abs),Woebbecke (abs)
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_1.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,ExG 131,NC326,DJI_0292.JPG,12.63263175,27.5119171,0,0.1102436871,0.1048327858,0.1533911569,0.05053848092,0.07621623391,0.1004214906,0.08832237283,1.149837022,2.367632334,3.069158236
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_1.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu pre,NC326,DJI_0292.JPG,12.63263175,29.409463,0,0.127243486,0.1161235866,0.1689701547,0.05788246557,0.0842459294,0.1149898231,0.09998503903,1.167795424,2.218714168,2.32086027
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_1.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu post,NC326,DJI_0292.JPG,12.63263175,29.81347954,0,0.1305776797,0.1186593537,0.172491231,0.05934550441,0.08604679936,0.1178865886,0.1022595557,1.171735975,2.170323633,2.254430803
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_1.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Custom,NC326,DJI_0292.JPG,12.63263175,26.89019358,0,0.1159093167,0.1026235837,0.1496828732,0.05057874588,0.07458873641,0.1005033233,0.08812837178,1.147318488,2.280335602,2.840626069
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_10.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,ExG 131,NC326,DJI_0333.JPG,12.63263175,26.83822803,0,0.1205548989,0.1082486619,0.1570394759,0.05882425384,0.07857430826,0.1166861689,0.1034526211,1.159888603,2.09999173,2.333399859
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_10.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu pre,NC326,DJI_0333.JPG,12.63263175,28.42611425,0,0.1339785328,0.1176461079,0.1700341444,0.06520927613,0.08525047099,0.1293086094,0.1138898673,1.175207052,1.805857178,1.82869085
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_10.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu post,NC326,DJI_0333.JPG,12.63263175,28.73663783,0,0.1366565546,0.1196071735,0.1727421328,0.0664269326,0.08663981237,0.1317118111,0.1158297101,1.178348863,1.773736011,1.791315459
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_10.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Custom,NC326,DJI_0333.JPG,12.63263175,26.45596271,0,0.1233741434,0.1061860848,0.1538006579,0.05799640461,0.07705946289,0.1150359517,0.1017664934,1.157041328,1.992390277,2.230591792
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_11.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,ExG 131,NC326,DJI_0334.JPG,12.63263175,22.9599139,0,0.1069736543,0.08271682144,0.1217836226,0.04056521893,0.06058608398,0.08083802231,0.0726313374,1.116215188,2.44070549,2.733901375
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_11.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu pre,NC326,DJI_0334.JPG,12.63263175,24.07513003,0,0.1176476457,0.0888815361,0.1305159312,0.04485696483,0.06503231191,0.08938451427,0.07991155562,1.12594271,2.123106428,2.164883324
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_11.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu post,NC326,DJI_0334.JPG,12.63263175,24.08391056,0,0.117411808,0.08887397762,0.1305182333,0.04478270101,0.06502675839,0.08923616799,0.07978002072,1.125890043,2.125506089,2.180432612
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_11.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Custom,NC326,DJI_0334.JPG,12.63263175,22.27091883,0,0.1066917236,0.07840319356,0.1153644602,0.03841796967,0.05745044015,0.07656876304,0.06876496895,1.10996127,2.306514765,2.667663519
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_12.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,ExG 131,NC326,DJI_0335.JPG,12.63263175,26.68092669,0,0.1143012499,0.08955881258,0.1324944148,0.03555080606,0.06546540286,0.07086634589,0.06171659751,1.120840266,2.984803964,4.0078235
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_12.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu pre,NC326,DJI_0335.JPG,12.63263175,28.2373327,0,0.128987366,0.0982147877,0.1447999892,0.04106343098,0.07169415019,0.08185525319,0.07084707877,1.134188803,2.924299112,2.949956609
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_12.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu post,NC326,DJI_0335.JPG,12.63263175,28.53170089,0,0.1316166509,0.0998281334,0.1471064526,0.04194777721,0.07285345478,0.08361735906,0.07227455449,1.136594831,2.817267443,2.828471303
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_12.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Custom,NC326,DJI_0335.JPG,12.63263175,26.10762496,0,0.1148597777,0.08534766336,0.1261673426,0.03357039241,0.06240730465,0.06692331981,0.05815532907,1.114783729,2.666208951,3.929840496
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_13.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,ExG 131,NC326,DJI_0336.JPG,12.63263175,22.63152369,0,0.09852498305,0.08382818117,0.1233289859,0.0415095392,0.06132983567,0.08263311244,0.07451914452,1.118580934,2.597644394,2.929988063
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_13.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu pre,NC326,DJI_0336.JPG,12.63263175,23.29275175,0,0.1037716763,0.08734675409,0.1283393452,0.04348876663,0.06386456582,0.08657301501,0.07771334789,1.123829377,2.406285707,2.716884684
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_13.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu post,NC326,DJI_0336.JPG,12.63263175,23.16883434,0,0.1026339616,0.08662467339,0.1273141777,0.04303101274,0.06334456038,0.08566239466,0.07695315662,1.122713956,2.434263609,2.750363616
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_13.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Custom,NC326,DJI_0336.JPG,12.63263175,21.72434132,0,0.09908360263,0.07839998879,0.1153182429,0.03822057992,0.05739684428,0.07611357779,0.06845176805,1.110208849,2.509143675,2.896128544
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_2.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,ExG 131,NC326,DJI_0293.JPG,12.63263175,27.73761294,0,0.111818812,0.1052282288,0.1538400706,0.04970178147,0.07647349642,0.09881354546,0.08615492817,1.149673934,2.489988131,3.0457272
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_2.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu pre,NC326,DJI_0293.JPG,12.63263175,30.09396165,0,0.1292304932,0.1170869016,0.1704539824,0.05599276354,0.08490601844,0.1113032711,0.09575510457,1.167650808,2.307909375,2.36299059
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_2.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu post,NC326,DJI_0293.JPG,12.63263175,30.57374235,0,0.1325532572,0.1197885595,0.1742523416,0.05736623162,0.08682815999,0.1140325002,0.09783910399,1.171686218,2.247773293,2.285848217
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_2.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Custom,NC326,DJI_0293.JPG,12.63263175,27.32134249,0,0.1167279855,0.102341825,0.1493513569,0.04817866493,0.07435866606,0.09579036958,0.08309220146,1.145398035,2.384086137,2.937951981
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_3.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,ExG 131,NC326,DJI_0294.JPG,12.63263175,24.0148851,0,0.1008268936,0.09813149145,0.1430310355,0.0536806234,0.07145205664,0.1066771932,0.0955768661,1.143960129,2.096323807,2.232067908
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_3.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu pre,NC326,DJI_0294.JPG,12.63263175,25.05849424,0,0.1078043393,0.1039141955,0.1511664116,0.05679478105,0.07558591618,0.1128554432,0.1004172493,1.152664764,1.900151317,2.001858232
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_3.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu post,NC326,DJI_0294.JPG,12.63263175,26.16333326,0,0.1147308174,0.1097351175,0.1593492274,0.05973673883,0.07973111372,0.1186802912,0.1049089676,1.16139625,1.849809206,1.881967349
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_3.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Custom,NC326,DJI_0294.JPG,12.63263175,22.98707843,0,0.1030827507,0.09256474106,0.1348002823,0.05024838904,0.0674109575,0.09988279883,0.0891602591,1.1353448,2.047447592,2.187057701
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_4.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,ExG 131,NC326,DJI_0295.JPG,12.63263175,30.5625298,0,0.1175139121,0.1187888516,0.1723211842,0.0565835254,0.08588666078,0.1121860379,0.09641812441,1.171612098,2.529318172,3.137040121
190814_djifc6310s_Aug14_NE_row_10_range_1_rep_4.tif,190814_djifc6310s_Aug14_NE_row_10_range_1,1565 and 1566,Otsu pre,NC326,DJI_0295.JPG,12.63263175,33.94429078,0,0.1398832861,0.1377625863,0.1985111293,0.06816933609,0.09928078968,0.1350946704,0.1146164833,1.202094268,2.119066137,2.147888462
